ETNT Article-focused template:,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,
Promo template: ,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,
DE preview (new issue),,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,
NOTES,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments
546,ETNT,,Thu,5/20/2016,Fri,Article,brainpowerfoods,teaspot,DM,
547,ETNT,,Thu,5/21/2016,Sat,Main Story,awfulingredients,etntexpecting,DM,
548,ETNT,,Thu,5/22/2016,Sun,Promo TBD,zbapp,n/a,JP,
549,ZBD,,Fri,5/23/2016,Mon,Article,chemicalsinfood,etntde,DM,
550,ETNT,,Wed,5/23/2016,Mon,ZBD Main Story,sugarswap,n/a,JP,
551,ETNT,,Mon,5/24/2016,Tue,Article,breakfastgoals,etntabs,DM,
552,ETNT,,Tue,5/25/2016,Wed,Article,etntawards,zbcook,DM,
553,ETNT,,Wed,5/26/2016,Thu,Article,memorialday,etntexpecting,DM,
554,ETNT,,Wed,5/27/2016,Fri,Main Story,nutritionmythsenergy,teacleanse,DM,Moved up schedulewise
555,ETNT,,Thu,5/28/2016,Sat,Article,acvuses,zbsmoothies,DM,
556,ETNT,,Thu,5/29/2016,Sun,Promo TBD,Expecting/AARP split,n/a,JP,
557,ZBD,,Thu,5/30/2016,Mon,Article,worstsupermarketfoods,etntexpecting,DM,Moved up schedulewise
558,ETNT,,Wed,5/30/2016,Mon,ZBD Main Story,walkoff,n/a,JP,
559,ETNT,,Fri,5/31/2016,Tue,Article,worst30,naughtydiet,DM,Moved up schedulewise
560,ETNT,,Tue,6/1/2016,Wed,Article,bestprobioticfoods,AARP,DM,
561,ETNT,,Wed,6/2/2016,Thu,Main Story,unhealthiestprotein,etntexpecting,DM,
562,ETNT,,Thu,6/3/2016,Fri,Article,buffalowings,etntde,DM,
563,ETNT,,Thu,6/4/2016,Sat,Article,benjerrysranked,teacleanse,DM,
564,ETNT,,Thu,6/5/2016,Sun,Promo TBD,RapidFBS,n/a,JP,
565,ZBD,,Fri,6/6/2016,Mon,Article,,etntexpecting,DM,
566,ETNT,,Wed,6/6/2016,Mon,ZBD Main Story,unhealthiest40,n/a,JP,
567,ETNT,,Mon,6/7/2016,Tue,Article,debloat,zbcook,DM,
568,ETNT,,Tue,6/8/2016,Wed,Main Story,losethreeinches,naughtydiet,DM,
569,ETNT,,Wed,6/9/2016,Thu,Article,milkalternative,etntabs,DM,
570,ETNT,,Tue,6/9/2016,Thu,,newslettersurvey,n/a,JP,
571,ETNT,,Thu,6/10/2016,Fri,Article,pb2,etntrapid,DM,
572,ETNT,,Thu,6/11/2016,Sat,Article,crackers,etntde,DM,
573,ETNT,,Thu,6/12/2016,Sun,Promo TBD,,n/a,JP,
574,ETNT,,Fri,6/13/2016,Mon,Article,,AARP,DM,
575,ZBD,,Wed,6/13/2016,Mon,ZBD Main Story,bloaters,n/a,JP,
